ID,Organisation Name,Type of Data Provided,Data provided to customer,Sensitive or Non-Sensitive,Legal Basis for Provision of Data (Dissemination),Purpose,Frequency,NIC Number,MR Number (where relevant),Patient Opt-Outs applied,Common law duty of confidentiality
DSfC0016,NHS Stockport CCG,Mental Health Minimum Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-110660-G9W6M-v2.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0017,NHS Stockport CCG,Mental Health Services Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-110660-G9W6M-v2.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0018,NHS Stockport CCG,Mental Health-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-110660-G9W6M-v2.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0019,NHS Stockport CCG,National Cancer Waiting Times Monitoring DataSet (CWT),Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-110660-G9W6M-v2.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0020,NHS Stockport CCG,National Diabetes Audit,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-110660-G9W6M-v2.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0021,NHS Stockport CCG,Other Not Elsewhere Classified (NEC)-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-110660-G9W6M-v2.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0022,NHS Stockport CCG,Patient Reported Outcome Measures,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-110660-G9W6M-v2.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0023,NHS Stockport CCG,Population Data-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-110660-G9W6M-v2.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0024,NHS Stockport CCG,Primary Care Services-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-110660-G9W6M-v2.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0025,NHS Stockport CCG,Public Health and Screening Services-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-110660-G9W6M-v2.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0026,NHS Stockport CCG,SUS for Commissioners,Identifiable,Sensitive,Health and Social Care Act 2012 - s261(7),,Frequent Adhoc Flow,DARS-NIC-110660-G9W6M-v2.2,,Yes - patient objections upheld,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0027,NHS Stockport CCG,SUS for Commissioners,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(7),,Frequent Adhoc Flow,DARS-NIC-110660-G9W6M-v2.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0028,NHS Liverpool CCG,Acute-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0029,NHS Liverpool CCG,Adult Social Care,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0030,NHS Liverpool CCG,Ambulance-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0031,NHS Liverpool CCG,Children and Young People Health,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0032,NHS Liverpool CCG,Civil Registration - Births,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0033,NHS Liverpool CCG,Civil Registration - Deaths,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0034,NHS Liverpool CCG,Community Services Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0035,NHS Liverpool CCG,Community-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0036,NHS Liverpool CCG,Demand for Service-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0037,NHS Liverpool CCG,Diagnostic Imaging Dataset,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0038,NHS Liverpool CCG,Diagnostic Services-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0039,NHS Liverpool CCG,Emergency Care-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0040,NHS Liverpool CCG,"Experience, Quality and Outcomes-Local Provider Flows",Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0041,NHS Liverpool CCG,Improving Access to Psychological Therapies Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0042,NHS Liverpool CCG,Maternity Services Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0043,NHS Liverpool CCG,Mental Health and Learning Disabilities Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0044,NHS Liverpool CCG,Mental Health Minimum Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0045,NHS Liverpool CCG,Mental Health Services Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0046,NHS Liverpool CCG,Mental Health-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0047,NHS Liverpool CCG,National Cancer Waiting Times Monitoring DataSet (CWT),Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0048,NHS Liverpool CCG,Other Not Elsewhere Classified (NEC)-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0049,NHS Liverpool CCG,Population Data-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0050,NHS Liverpool CCG,Primary Care Services-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0051,NHS Liverpool CCG,Public Health and Screening Services-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0052,NHS Liverpool CCG,SUS for Commissioners,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-113980-R8Z8K-v1.2,,No - data flow is not identifiable,Does not include the flow of confidential data
DSfC0053,NHS North East Hampshire and Farnham CCG,Acute-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-116548-M7Z5F-v5.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0054,NHS North East Hampshire and Farnham CCG,Ambulance-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-116548-M7Z5F-v5.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0055,NHS North East Hampshire and Farnham CCG,Community-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-116548-M7Z5F-v5.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0056,NHS North East Hampshire and Farnham CCG,Demand for Service-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-116548-M7Z5F-v5.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0057,NHS North East Hampshire and Farnham CCG,Diagnostic Services-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-116548-M7Z5F-v5.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0058,NHS North East Hampshire and Farnham CCG,Emergency Care-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-116548-M7Z5F-v5.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0059,NHS North East Hampshire and Farnham CCG,"Experience, Quality and Outcomes-Local Provider Flows",Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-116548-M7Z5F-v5.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0060,NHS North East Hampshire and Farnham CCG,Mental Health-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-116548-M7Z5F-v5.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0061,NHS North East Hampshire and Farnham CCG,Other Not Elsewhere Classified (NEC)-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-116548-M7Z5F-v5.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0062,NHS North East Hampshire and Farnham CCG,Population Data-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-116548-M7Z5F-v5.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0063,NHS North East Hampshire and Farnham CCG,Primary Care Services-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-116548-M7Z5F-v5.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0064,NHS North East Hampshire and Farnham CCG,Public Health and Screening Services-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261(1) and s261(2)(b)(ii),,Frequent Adhoc Flow,DARS-NIC-116548-M7Z5F-v5.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0065,NHS North East Hampshire and Farnham CCG,SUS for Commissioners,Anonymised - ICO code compliant,Sensitive,National Health Service Act 2006 - s251 - 'Control of patient information'. ,,Frequent Adhoc Flow,DARS-NIC-116548-M7Z5F-v5.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0066,NHS North East Hampshire and Farnham CCG,SUS for Commissioners,Identifiable,Sensitive,National Health Service Act 2006 - s251 - 'Control of patient information'. ,,Frequent Adhoc Flow,DARS-NIC-116548-M7Z5F-v5.2,,Yes - patient objections upheld,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0067,NHS Oxfordshire CCG,Acute-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,Frequent Adhoc Flow,DARS-NIC-116582-F2F2J-v9.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0068,NHS Oxfordshire CCG,Ambulance-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,Frequent Adhoc Flow,DARS-NIC-116582-F2F2J-v9.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0069,NHS Oxfordshire CCG,Children and Young People Health,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,Frequent Adhoc Flow,DARS-NIC-116582-F2F2J-v9.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0070,NHS Oxfordshire CCG,Civil Registration - Births,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,Frequent Adhoc Flow,DARS-NIC-116582-F2F2J-v9.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0071,NHS Oxfordshire CCG,Civil Registration - Deaths,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,Frequent Adhoc Flow,DARS-NIC-116582-F2F2J-v9.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0072,NHS Oxfordshire CCG,Community Services Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,Frequent Adhoc Flow,DARS-NIC-116582-F2F2J-v9.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0073,NHS Oxfordshire CCG,Community-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,Frequent Adhoc Flow,DARS-NIC-116582-F2F2J-v9.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0074,NHS Oxfordshire CCG,Demand for Service-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,Frequent Adhoc Flow,DARS-NIC-116582-F2F2J-v9.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0075,NHS Oxfordshire CCG,Diagnostic Imaging Dataset,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,Frequent Adhoc Flow,DARS-NIC-116582-F2F2J-v9.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0076,NHS Oxfordshire CCG,Diagnostic Services-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,Frequent Adhoc Flow,DARS-NIC-116582-F2F2J-v9.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0077,NHS Oxfordshire CCG,Emergency Care-Local Provider Flows,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,Frequent Adhoc Flow,DARS-NIC-116582-F2F2J-v9.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0078,NHS Oxfordshire CCG,e-Referral Service for Commissioning,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,Frequent Adhoc Flow,DARS-NIC-116582-F2F2J-v9.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0079,NHS Oxfordshire CCG,"Experience, Quality and Outcomes-Local Provider Flows",Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,Frequent Adhoc Flow,DARS-NIC-116582-F2F2J-v9.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0080,NHS Oxfordshire CCG,Improving Access to Psychological Therapies Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,Frequent Adhoc Flow,DARS-NIC-116582-F2F2J-v9.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
DSfC0081,NHS Oxfordshire CCG,Maternity Services Data Set,Anonymised - ICO code compliant,Sensitive,Health and Social Care Act 2012 - s261 - 'Other dissemination of information',,Frequent Adhoc Flow,DARS-NIC-116582-F2F2J-v9.2,,No - data flow is not identifiable,Mixture of confidential data flow(s) with support under section 251 NHS Act 2006 and non-confidential data flow(s)
